Date,rolling_vol_20d,rolling_vol_60d,rolling_vol_120d,ewma_vol_lambda_0.94
2023-01-03,,,,0.0910218883782333
2023-01-04,,,,0.09556902142142423
2023-01-05,,,,0.09294599531317987
2023-01-06,,,,0.10014794716795
2023-01-09,,,,0.09777659677940376
2023-01-10,,,,0.11589183950139897
2023-01-11,,,,0.1180936350571125
2023-01-12,,,,0.13302032911200493
2023-01-13,,,,0.14667778972994525
2023-01-16,,,,0.14288554776638762
2023-01-17,,,,0.13853368844944233
2023-01-18,,,,0.1350350606148563
2023-01-19,,,,0.13208079916810364
2023-01-20,,,,0.13029886909068608
2023-01-23,,,,0.13596215973211548
2023-01-24,,,,0.13242925673308736
2023-01-25,,,,0.12842990401528764
2023-01-26,,,,0.12565756201580675
2023-01-27,,,,0.12755073949670054
2023-01-30,0.14856005803350386,,,0.12763448814957834
2023-01-31,0.14707401824428126,,,0.1242701943251291
2023-02-01,0.14435663616105876,,,0.12052868056220076
2023-02-02,0.15403457385573815,,,0.12902159964499926
2023-02-03,0.14784194938998602,,,0.12512489183140652
2023-02-06,0.14926514039021027,,,0.1254712508848453
2023-02-07,0.14650060744794793,,,0.13497692249638157
2023-02-08,0.14620615599682316,,,0.13550425385886283
2023-02-09,0.14507615805345053,,,0.1445308937480998
2023-02-10,0.12856455455181148,,,0.14105629005671916
2023-02-13,0.12981509172160646,,,0.13929764934428301
2023-02-14,0.13248831753497695,,,0.13709698549432425
2023-02-15,0.137745311581447,,,0.13829893232085996
2023-02-16,0.13836195732133708,,,0.13561175499872757
2023-02-17,0.14608789162010877,,,0.14378673502899375
2023-02-20,0.1374774912968481,,,0.13985228499123922
2023-02-21,0.15173074307326842,,,0.15553293793738052
2023-02-22,0.1734053620726279,,,0.1817869048627172
2023-02-23,0.17561110819576545,,,0.1817436869337309
2023-02-24,0.18149626321590562,,,0.18099407986963786
2023-02-27,0.18153136296698794,,,0.1758451826463279
2023-02-28,0.18243664090159364,,,0.1715580300274884
2023-03-01,0.1843974166425953,,,0.16785279511314524
2023-03-02,0.17720737026444477,,,0.16445952666967473
2023-03-03,0.1829078988423568,,,0.1644723955313956
2023-03-06,0.18327122733058746,,,0.1611143896864999
2023-03-07,0.17906945540854088,,,0.16024688710903973
2023-03-08,0.18744366367561283,,,0.17149378308825655
2023-03-09,0.1810089343645704,,,0.17427194368402443
2023-03-10,0.19323241018396098,,,0.18180422236336222
2023-03-13,0.1916622048064595,,,0.17687256761905581
2023-03-14,0.1939298646782573,,,0.17372846679311274
