event_name,event_date,pre_realized_vol,post_realized_vol,vol_change,vol_ratio,pre_obs,post_obs
FOMC,2024-01-31,0.19846540746680758,0.1353158803658892,-0.06314952710091837,0.6818109114986206,7,8
CPI,2024-02-13,0.10627987170283058,0.13046830055585423,0.02418842885302365,1.2275918145691498,6,8
FOMC,2024-03-20,0.1487349959340404,0.18084157423600747,0.03210657830196706,1.2158643169372552,7,8
CPI,2024-04-10,0.11947075968190031,0.23367427965167747,0.11420351996977716,1.9559118923647296,7,8
FOMC,2024-05-01,0.11349412025969624,0.18655329536822562,0.07305917510852938,1.643726520293351,7,8
CPI,2024-05-15,0.14339652565981229,0.1339809886754311,-0.00941553698438119,0.9343391554219507,7,8
FOMC,2024-06-12,0.16960772413213354,0.14361279736921803,-0.02599492676291551,0.8467350063452059,7,8
CPI,2024-07-11,0.1223004395788747,0.19026043793712208,0.06795999835824738,1.5556807366535934,8,7
FOMC,2024-07-31,0.05961898148645564,0.0896540369166962,0.030035055430240556,1.5037834374454044,7,8
CPI,2024-08-14,0.16033414168171087,0.1562420516057083,-0.004092090076002558,0.9744777373485055,7,8
FOMC,2024-09-18,0.1089965963133855,0.07099910218837606,-0.03799749412500944,0.6513882505490394,7,8
CPI,2024-10-10,0.09241493445759941,0.23756773615705848,0.14515280169945907,2.5706639035280188,8,7
FOMC,2024-11-07,0.14641584772397417,0.150322568557755,0.003906720833780825,1.0266823632448985,8,7
CPI,2024-12-11,0.11759760401496026,0.12154458890970557,0.003946984894745306,1.0335634805471308,7,8
