Date,Close
2023-01-02,379.11
2023-01-03,381.29
2023-01-04,377.71
2023-01-05,377.0
2023-01-06,381.26
2023-01-09,382.39
2023-01-10,375.89
2023-01-11,379.42
2023-01-12,372.87
2023-01-13,366.23
2023-01-16,367.54
2023-01-17,367.49
2023-01-18,368.81
2023-01-19,370.47
2023-01-20,372.77
2023-01-23,377.62
2023-01-24,376.39
2023-01-25,376.1
2023-01-26,374.47
2023-01-27,370.85
2023-01-30,367.85
2023-01-31,368.93
2023-02-01,369.24
2023-02-02,374.47
2023-02-03,374.19
2023-02-06,371.12
2023-02-07,365.58
2023-02-08,368.9
2023-02-09,374.66
2023-02-10,376.22
2023-02-13,378.79
2023-02-14,376.5
2023-02-15,372.82
2023-02-16,370.88
2023-02-17,365.37
2023-02-20,366.42
2023-02-21,359.31
2023-02-22,350.05
2023-02-23,346.08
2023-02-24,349.78
2023-02-27,350.8
2023-02-28,352.53
2023-03-01,354.58
2023-03-02,356.75
2023-03-03,360.47
2023-03-06,362.61
2023-03-07,365.96
2023-03-08,359.19
2023-03-09,354.4
2023-03-10,360.57
2023-03-13,361.93
2023-03-14,364.53
2023-03-15,357.66
2023-03-16,354.65
2023-03-17,356.52
2023-03-20,355.0
2023-03-21,350.97
2023-03-22,358.63
2023-03-23,361.45
2023-03-24,362.7
2023-03-27,359.22
2023-03-28,358.44
2023-03-29,357.56
2023-03-30,359.48
2023-03-31,365.49
2023-04-03,367.07
2023-04-04,375.03
2023-04-05,376.44
2023-04-06,376.52
2023-04-07,380.33
2023-04-10,387.87
2023-04-11,377.7
2023-04-12,379.41
2023-04-13,380.5
2023-04-14,381.76
2023-04-17,379.81
2023-04-18,377.73
2023-04-19,377.47
2023-04-20,366.94
2023-04-21,365.2
2023-04-24,365.07
2023-04-25,368.87
2023-04-26,362.47
2023-04-27,361.25
2023-04-28,365.55
2023-05-01,355.52
2023-05-02,358.2
2023-05-03,352.76
2023-05-04,352.33
2023-05-05,353.16
2023-05-08,352.95
2023-05-09,358.81
2023-05-10,369.43
2023-05-11,365.14
2023-05-12,365.77
2023-05-15,368.62
2023-05-16,362.88
2023-05-17,357.3
2023-05-18,353.59
2023-05-19,348.3
2023-05-22,353.85
2023-05-23,350.51
2023-05-24,353.46
2023-05-25,359.54
2023-05-26,363.41
2023-05-29,362.86
2023-05-30,362.62
2023-05-31,360.46
2023-06-01,366.3
2023-06-02,362.53
2023-06-05,368.23
2023-06-06,367.66
2023-06-07,368.23
2023-06-08,368.84
2023-06-09,360.18
2023-06-12,358.84
2023-06-13,360.16
2023-06-14,357.99
2023-06-15,358.41
2023-06-16,363.56
2023-06-19,369.43
2023-06-20,375.86
2023-06-21,368.66
2023-06-22,364.61
2023-06-23,360.05
2023-06-26,353.8
